Mean performance on the last batch at each run 
PMAUC, WAUC, EWAUC, G-mean 
0.4833104348097557, 0.47614151349959716, 0.4899070871177325, 0.0, 
0.495652778102252, 0.5052701665892491, 0.5009212999856876, 0.0, 
0.5151345539660475, 0.5213398949493867, 0.5242971246357124, 0.0, 
0.4905481738135106, 0.48157621089951236, 0.49367309906127566, 0.0, 
0.45648013294819256, 0.4462619510397199, 0.46495150370852123, 0.0, 
0.4862454064197309, 0.4749977453250941, 0.4931578677142059, 0.0, 
0.47683869996379447, 0.4724939099441134, 0.48212593933800413, 0.0, 
0.5157181693256325, 0.5157034676693601, 0.5179280428761646, 0.0, 
0.499104478184455, 0.4894452334163953, 0.5043755884392704, 0.0, 
0.4814198467759935, 0.49554218856713195, 0.4902289036978894, 0.0, 
0.5573552211536771, 0.569927922887501, 0.5652906593729652, 0.0, 
0.48560380707508577, 0.4873140165543817, 0.48827497394204855, 0.0, 
0.5152308534853615, 0.530842068978595, 0.520590344040377, 0.0, 
0.49098842960687816, 0.47506426847312055, 0.49717298061538984, 0.0, 
0.46182191250880283, 0.4503113395172019, 0.46980983294194806, 0.0, 
0.45767480131790533, 0.4453790247370891, 0.4601664074452832, 0.0, 
0.4770863147091481, 0.47634555234462894, 0.48294821548352856, 0.0, 
0.4430973369769868, 0.43817282968639487, 0.44679887020426307, 0.0, 
0.5067739186054335, 0.5143620884660441, 0.5121179609368068, 0.0, 
0.5002669970032764, 0.5069958816729223, 0.5032900542395435, 0.0, 
0.5219757497366284, 0.5319121612831572, 0.5262857065090139, 0.0, 
0.5236138766046139, 0.5314983992123, 0.5274773021529504, 0.0, 
0.49909658099074444, 0.5049227794182745, 0.502375128725918, 0.0, 
0.5005027607062366, 0.5093047463105488, 0.5035202975699091, 0.0, 
0.496096344279805, 0.5079946967487872, 0.5028357776431372, 0.0, 
0.5220705691149405, 0.5231212339427675, 0.5236644758680243, 0.0, 
0.4483813121052856, 0.4714577168364834, 0.4514127264624286, 0.0, 
0.5087021185657256, 0.5074947672578681, 0.5147126385964047, 0.0, 
0.4700396600850917, 0.45511960186010014, 0.47793239451762476, 0.0, 
0.49075648398192095, 0.4787026529678792, 0.4958420325916161, 0.0, 
0.5273046103458328, 0.5101628379250884, 0.5313036776349601, 0.0, 
0.44911842258358114, 0.46494317204010327, 0.45652199341609606, 0.0, 
0.5122528305138788, 0.5094055711901588, 0.5160946918115445, 0.0, 
0.4877049172010813, 0.48608169076244023, 0.4936938185424323, 0.0, 
0.42422949956194117, 0.412232387197486, 0.42683101024627146, 0.0, 
0.4580405912540336, 0.46208215435221234, 0.4633071892348635, 0.0, 
0.48688581234171363, 0.4828522067883223, 0.49101949837012693, 0.0, 
0.5147340775394641, 0.5242407057845774, 0.5196368066240177, 0.0, 
0.5036988507045865, 0.4992768956765787, 0.5111645021024482, 0.0, 
0.4863326619695225, 0.4813110535902795, 0.49082774214383357, 0.0, 
0.4718310216585272, 0.4615969059023012, 0.47671703429969525, 0.0, 
0.45840286509473255, 0.4508141487413223, 0.46081838265003616, 0.0, 
0.527599229017221, 0.5195771111966909, 0.5322092770533965, 0.0, 
0.5093418984256479, 0.5037935827368555, 0.5105962174992945, 0.0, 
0.4931395481349917, 0.4892713748826427, 0.4996384986790648, 0.0, 
0.5054148164525926, 0.4969489066333415, 0.5103917558095834, 0.0, 
0.5018829270853286, 0.4965444562386924, 0.5056828798760128, 0.0, 
0.4700223982375188, 0.4594099873195434, 0.4753191946740293, 0.0, 
0.53134000331163, 0.5258333527807594, 0.5322562399096069, 0.0, 
0.48441302534628744, 0.4843578943683212, 0.48991266781583953, 0.0, 
