Mean performance on the last batch at each run 
PMAUC, WAUC, EWAUC, G-mean 
0.49766996640398814, 0.4997552756844204, 0.5018263884509887, 0.0, 
0.4642869415247115, 0.4541631071259145, 0.46825389382260835, 0.0, 
0.4944936863558057, 0.4971787369684682, 0.4995095704886198, 0.0, 
0.5359123819080659, 0.5398376083666107, 0.5404269182496906, 0.0, 
0.5077098006789988, 0.5149459691088378, 0.5126717957032736, 0.0, 
0.4748766156650812, 0.45628542530845595, 0.4776144112625558, 0.0, 
0.5362047731284145, 0.5400618491503878, 0.5399318493019366, 0.0, 
0.5074349884945364, 0.5145317405693746, 0.5120192282447177, 0.0, 
0.47505867173168803, 0.456294723241375, 0.4775327912549267, 0.0, 
0.47502221513003445, 0.45648524729039924, 0.477111752334913, 0.0, 
0.5070100597576696, 0.5143011450556846, 0.5118485799969704, 0.0, 
0.4748577891399231, 0.4562297352432629, 0.4761865779514804, 0.0, 
0.4962787968479104, 0.4987645849836052, 0.5007396202689887, 0.0, 
0.49458165103999135, 0.49729460292543615, 0.49946430898608485, 0.0, 
0.4748649718556472, 0.4563433692550066, 0.47692096552476765, 0.0, 
0.4748073316092835, 0.45624043549179283, 0.4771293323255821, 0.0, 
0.47470715409221553, 0.45621410550481395, 0.4762684153364987, 0.0, 
0.4747370454317407, 0.4561369684488449, 0.47581686845385945, 0.0, 
0.5281832522816566, 0.5536415565741921, 0.5339937864796632, 0.0, 
0.47480776103900524, 0.45626485850243076, 0.4769179131123123, 0.0, 
0.46428154682591627, 0.4540831267457805, 0.4678625871098163, 0.0, 
0.4748769044639953, 0.4562995591550152, 0.47785575813779446, 0.0, 
0.46513624812832505, 0.4549751664434421, 0.46705500919226833, 0.0, 
0.47486529224828766, 0.4562378287929609, 0.47775764485596856, 0.0, 
0.5078178906325249, 0.5151442870304018, 0.5127637334236953, 0.0, 
0.4748710233415833, 0.4563118787878694, 0.4765194721351894, 0.0, 
0.5353015822225954, 0.5390490692071522, 0.5405335777064966, 0.0, 
0.5314250107986543, 0.5347452330866882, 0.5366176648825614, 0.0, 
0.4750615747539696, 0.4563891465031426, 0.4763414765657922, 0.0, 
0.4748154465834573, 0.4562689501534774, 0.4766245404037387, 0.0, 
0.46429727630061246, 0.45397870336156015, 0.4680217002724953, 0.0, 
0.49432598253871757, 0.4969769578304899, 0.4992069012141151, 0.0, 
0.5359589630459404, 0.5398513008606854, 0.540727995902566, 0.0, 
0.47467949038612883, 0.45629118490185544, 0.47592500618293243, 0.0, 
0.47469547413306595, 0.45633990618594505, 0.4744458791090941, 0.0, 
0.47494685599342384, 0.4564668026286138, 0.4770214373549221, 0.0, 
0.5357614454424657, 0.5397962993165304, 0.5404578695900304, 0.0, 
0.5359150390130565, 0.5397824795561764, 0.5409325816646054, 0.0, 
0.49500268575741035, 0.4975720850339563, 0.4999168792722992, 0.0, 
0.535458336298586, 0.5391236306763305, 0.5409179542469819, 0.0, 
0.4989721381484628, 0.5002316798965059, 0.5045879615953942, 0.0, 
0.482496945756329, 0.46121823482682484, 0.48415902166325003, 0.0, 
0.4747246031362847, 0.45620499713564555, 0.47652436024235273, 0.0, 
0.47483313697599366, 0.45637945982377115, 0.47619412417757356, 0.0, 
0.49640308315179754, 0.4990173043523456, 0.5007642787949879, 0.0, 
0.5357034069306784, 0.5396553018681703, 0.5415238806297091, 0.0, 
0.50741037453467, 0.514802341226732, 0.512265791604727, 0.0, 
0.46480423065480425, 0.45469118282842497, 0.467679229803378, 0.0, 
0.49916575690551207, 0.5007755104889954, 0.5022802483417055, 0.0, 
0.46514090551022647, 0.45497827487888526, 0.46737613120358174, 0.0, 
