Mean performance on the last batch at each run 
PMAUC, WAUC, EWAUC, G-mean 
0.6184869133391023, 0.47422206651684895, 0.5488967648838858, 0.0, 
0.614365801498951, 0.4555715587043164, 0.5471489919046273, 0.0, 
0.6231716066592863, 0.4997164181407069, 0.5657446451191157, 0.0, 
0.5689702781446067, 0.4061660675545389, 0.49258528971588295, 0.0, 
0.6040992883134908, 0.4662188894084437, 0.5320252547676968, 0.0, 
0.6508294067215978, 0.5406293944120456, 0.6008357183375937, 0.0, 
0.6073095351083349, 0.5010314409918105, 0.5394921613364148, 0.0, 
0.6004231103844849, 0.5204513061005918, 0.5387142419428264, 0.0, 
0.6008506877149543, 0.4411961471570159, 0.5342215298216333, 0.0, 
0.6235511132708986, 0.4799826323684482, 0.5628012029167306, 0.0, 
