Mean performance on the last batch at each run 
PMAUC, WAUC, EWAUC, G-mean 
0.5422344080546874, 0.4415950658055018, 0.4931751212059482, 0.0, 
0.5224222474819233, 0.41344268563535086, 0.4672137066727149, 0.0, 
0.4970577282845505, 0.33222318910464427, 0.4351939400689026, 0.0, 
0.5312187805879195, 0.41966538761572136, 0.4747480403881278, 0.0, 
0.5999998223927251, 0.49737178279211214, 0.5535857523875797, 0.0, 
0.6170483348331282, 0.5147555977576557, 0.5702651433706214, 0.0, 
0.5451509069811502, 0.4252410693390879, 0.49333112298716786, 0.0, 
0.5088693422215907, 0.37528057804383025, 0.44850270382372165, 0.0, 
0.5617233825897509, 0.448649593235102, 0.5077808790209615, 0.0, 
0.5588070316693505, 0.413680299314897, 0.4987707205324563, 0.0, 
0.5235826248776485, 0.40052020245487824, 0.4690418276077332, 0.0, 
0.521265185421995, 0.3764835061852509, 0.4646554946749301, 0.0, 
0.5866572633481734, 0.5110044010184831, 0.5440758914367723, 0.0, 
0.526914221606517, 0.4069914682614933, 0.4752564527897627, 0.0, 
0.5706992694420763, 0.4666972206873948, 0.5176943558728679, 0.0, 
0.5250425172081715, 0.386852567504543, 0.46728688530179613, 0.0, 
0.5028854176533738, 0.3473310273333303, 0.443235742696623, 0.0, 
0.6284565434466863, 0.5576175621988205, 0.5876232263116612, 0.0, 
0.4796696011335289, 0.38535849606664446, 0.4216832379897049, 0.0, 
0.5282065612074137, 0.3821030014328683, 0.46888718932985535, 0.0, 
0.49475477368886356, 0.3738383917410768, 0.44304718789117215, 0.0, 
0.5367698959616053, 0.4419507630484705, 0.48079642340588663, 0.0, 
0.5378893842158443, 0.4569624380321467, 0.4856631952665899, 0.0, 
0.5722634567111867, 0.4461513652490028, 0.5161950323755712, 0.0, 
0.5488104555429258, 0.41131177405413055, 0.4932267705420159, 0.0, 
