Mean performance on the last batch at each run 
PMAUC, WAUC, EWAUC, G-mean 
0.6782801554599294, 0.4722676050215023, 0.5705171025901816, 0.0, 
0.7851802009048386, 0.2210319626744898, 0.6448469751428907, 0.0, 
0.6844477329981913, 0.49779865196157735, 0.5773751694775463, 0.0, 
0.7597450757678272, 0.5923225024735765, 0.6935708605722534, 0.0, 
0.651903655383248, 0.4255120054015758, 0.5719043089707863, 0.0, 
0.7034668940039784, 0.5004061969198159, 0.6056539074424648, 0.0, 
0.6859344355697189, 0.4840793912336522, 0.5946291249615331, 0.0, 
0.7450208152906895, 0.5756777568298913, 0.661012133425335, 0.0, 
0.7158056970775428, 0.525092873645977, 0.6202792354370856, 0.0, 
0.6855128508730384, 0.4666283588586183, 0.5842562236359158, 0.0, 
0.6870059261627353, 0.4867889791120977, 0.5952835744097825, 0.0, 
0.8136128984605112, 0.7026898900260179, 0.7717738434569664, 0.0, 
0.8583262403189936, 0.3012974003631155, 0.7870748477100427, 0.0, 
0.6799649197440653, 0.43861249360415505, 0.5775333792658749, 0.0, 
0.8267211836425391, 0.24923249235744813, 0.7076653357149425, 0.0, 
0.6897828511436782, 0.5055904165616077, 0.59690325770843, 0.0, 
0.6237931642061012, 0.39793913256958924, 0.5463974794188466, 0.0, 
0.7225251441156175, 0.5249494667463928, 0.6343465561346633, 0.0, 
0.6844544891225411, 0.5065299614828892, 0.5847695918436109, 0.0, 
0.6777550792861424, 0.42763468555766454, 0.5591123462586469, 0.0, 
0.6648793116280328, 0.4555416908017804, 0.5849767410071859, 0.0, 
0.651438814857666, 0.44638255532361165, 0.5824212463722218, 0.0, 
0.7034668940039784, 0.5004061969198159, 0.6056539074424648, 0.0, 
0.7977118967554819, 0.664845456783453, 0.7442488906090521, 0.0, 
0.6909511377014573, 0.46052532644930766, 0.5920591201613449, 0.0, 
