Mean performance on the last batch at each run 
PMAUC, WAUC, EWAUC, G-mean 
0.8353233830845783, 0.5061569069364384, 0.6769776436933866, 0.0, 
0.8353233830845783, 0.5061569069364384, 0.6769776436933866, 0.0, 
0.8353233830845783, 0.5061569069364384, 0.6769776436933866, 0.0, 
0.8353233830845783, 0.5061569069364384, 0.6769776436933866, 0.0, 
0.8353233830845783, 0.5061569069364384, 0.6769776436933866, 0.0, 
0.8353233830845783, 0.5061569069364384, 0.6769776436933866, 0.0, 
0.8353233830845783, 0.5061569069364384, 0.6769776436933866, 0.0, 
0.8353233830845783, 0.5061569069364384, 0.6769776436933866, 0.0, 
0.8353233830845783, 0.5061569069364384, 0.6769776436933866, 0.0, 
0.8353233830845783, 0.5061569069364384, 0.6769776436933866, 0.0, 
0.8353233830845783, 0.5061569069364384, 0.6769776436933866, 0.0, 
0.8353233830845783, 0.5061569069364384, 0.6769776436933866, 0.0, 
0.8353233830845783, 0.5061569069364384, 0.6769776436933866, 0.0, 
0.8353233830845783, 0.5061569069364384, 0.6769776436933866, 0.0, 
0.8353233830845783, 0.5061569069364384, 0.6769776436933866, 0.0, 
0.8353233830845783, 0.5061569069364384, 0.6769776436933866, 0.0, 
0.8353233830845783, 0.5061569069364384, 0.6769776436933866, 0.0, 
0.8353233830845783, 0.5061569069364384, 0.6769776436933866, 0.0, 
0.8353233830845783, 0.5061569069364384, 0.6769776436933866, 0.0, 
0.8353233830845783, 0.5061569069364384, 0.6769776436933866, 0.0, 
0.8353233830845783, 0.5061569069364384, 0.6769776436933866, 0.0, 
0.8353233830845783, 0.5061569069364384, 0.6769776436933866, 0.0, 
0.8353233830845783, 0.5061569069364384, 0.6769776436933866, 0.0, 
0.8353233830845783, 0.5061569069364384, 0.6769776436933866, 0.0, 
0.8353233830845783, 0.5061569069364384, 0.6769776436933866, 0.0, 
