Mean performance on the last batch at each run 
PMAUC, WAUC, EWAUC, G-mean 
0.609399898303454, 0.46883894214611166, 0.5688669536253614, 0.0, 
0.6412156486062364, 0.5075978091895271, 0.6050574511610195, 0.0, 
0.6387220369488354, 0.5193062685262673, 0.5995880943115983, 0.0, 
0.6232032986818604, 0.48810968573557706, 0.5844962293696379, 0.0, 
0.6291298323112855, 0.5246877173458885, 0.5912428868821534, 0.0, 
0.6178338052026421, 0.4721982916672948, 0.5735914655830462, 0.0, 
0.6292140254168556, 0.507093675950734, 0.593745605520025, 0.0, 
0.6183548874744089, 0.46719788232638093, 0.5771261850360496, 0.0, 
0.6301717186192582, 0.5074797401433978, 0.5910696143766087, 0.0, 
0.6205090437780793, 0.49616261918029786, 0.5881974570442986, 0.0, 
0.6358149511713785, 0.5173028910614302, 0.5949129967554625, 0.0, 
0.6481817432166148, 0.5367999319440067, 0.6113434123880208, 0.0, 
0.5960927242675935, 0.43311012915027625, 0.5586207319116562, 0.0, 
0.6295371092066867, 0.4764273636852661, 0.5898692948691192, 0.0, 
0.6069594400226437, 0.48163594701902157, 0.5672049583744657, 0.0, 
0.6218734018922228, 0.49744850555177367, 0.5825730945700163, 0.0, 
0.6023852662944831, 0.462086440144808, 0.5639256068126265, 0.0, 
0.6509885173215313, 0.543577332095626, 0.6165426457055282, 0.0, 
0.6365700303041342, 0.5021937780578489, 0.5954998743703179, 0.0, 
0.6335003807736141, 0.5142691953096535, 0.5969150754321171, 0.0, 
0.6327403673038747, 0.4795410345338132, 0.5920769534987966, 0.0, 
0.6044107819325358, 0.4667159344634321, 0.5670536850139625, 0.0, 
0.6412901880345865, 0.5058735406427771, 0.5991961879555199, 0.0, 
0.6316595171629339, 0.503694561344023, 0.593085049329604, 0.0, 
0.6134537742521974, 0.4775787840501716, 0.5730683840478621, 0.0, 
