Mean performance on the last batch at each run 
PMAUC, WAUC, EWAUC, G-mean 
0.42274270929810165, 0.40583279300712044, 0.43574247336217364, 0.0, 
0.4298090869195669, 0.3995266409027222, 0.44199980519657156, 0.0, 
0.4371700328476877, 0.42324489407693355, 0.45049992232476277, 0.0, 
0.45535370159094235, 0.4332546572468619, 0.4668521427519625, 0.0, 
0.42902374582989133, 0.40962171456729274, 0.44407609826344974, 0.0, 
0.4385769196266422, 0.41728687712843576, 0.45227339452987475, 0.0, 
0.4664532361190606, 0.4363861649527199, 0.4777372279998862, 0.0, 
0.4583104092150971, 0.44348294772838126, 0.4734074650720033, 0.0, 
0.4627597779004517, 0.4356465664549213, 0.47732427219513157, 0.0, 
0.428895207779026, 0.40783944622679186, 0.4430436183795213, 0.0, 
0.46007906205057186, 0.4396206267173491, 0.4726989604297079, 0.0, 
0.474330598803185, 0.4516140232259359, 0.4884584924394817, 0.0, 
0.4592666605215318, 0.43733927460813016, 0.47438074887629506, 0.0, 
0.4585410555059744, 0.43264742772716347, 0.4707280692641825, 0.0, 
0.4563409140282055, 0.4367480375387249, 0.4707774818124571, 0.0, 
0.43218856874782713, 0.4056220632693366, 0.4449583975829634, 0.0, 
0.42303892880470906, 0.40881489855319053, 0.43657791868400253, 0.0, 
0.4550998733005322, 0.4375708071773857, 0.4691940553897835, 0.0, 
0.42678796595202106, 0.4135611087456498, 0.43972666395139887, 0.0, 
0.46235278093985305, 0.4405605895579349, 0.47795491957135294, 0.0, 
0.45080004990262273, 0.4346327357882591, 0.46452214451479784, 0.0, 
0.4561431690395964, 0.43605558936642996, 0.4695167024004969, 0.0, 
0.4502217707778895, 0.43202635636720504, 0.4638424106106722, 0.0, 
0.4539450753440716, 0.4314226132910417, 0.4653723345055364, 0.0, 
0.45497322817207586, 0.43996544011991295, 0.46816704279486265, 0.0, 
