Mean performance on the last batch at each run 
PMAUC, WAUC, EWAUC, G-mean 
0.4070001466821419, 0.42748443950007947, 0.4053131511780658, 0.0, 
0.4394220482586457, 0.45704246120518216, 0.4361521884480379, 0.0, 
0.438085622904722, 0.4415377181168277, 0.4445905414005941, 0.0, 
0.49169117233191795, 0.4842944721129134, 0.4934473862676332, 0.0, 
0.4851928862410598, 0.505474848741863, 0.48672413367678347, 0.0, 
0.4355502583091951, 0.43202163823492407, 0.43244937214410606, 0.0, 
0.4047405074584193, 0.40521709499055286, 0.4037153252655461, 0.0, 
0.42004589860432945, 0.39881090820133686, 0.41900755629574127, 0.0, 
0.40322355138303717, 0.40810433955549724, 0.3999970489979721, 0.0, 
0.40420279663665837, 0.40115893122888446, 0.40614999904925697, 0.0, 
0.4696623844682599, 0.4653129880778388, 0.4678251153582573, 0.0, 
0.5716886420717937, 0.5477052098174013, 0.5723898821462188, 0.0, 
0.483098765820976, 0.5074008161759047, 0.48449224632317955, 0.0, 
0.4490408082489937, 0.4490862773086173, 0.4502736034009537, 0.0, 
0.4396941847169804, 0.47771601696287647, 0.4386894120959767, 0.0, 
0.509986917340628, 0.500992433579951, 0.507018702721738, 0.0, 
0.4889099872384114, 0.5197217525503007, 0.4861422101899456, 0.0, 
0.4454159139555993, 0.4697816203672236, 0.4439040268675091, 0.0, 
0.4972621753539401, 0.4902249696116608, 0.49660926975300196, 0.0, 
0.3718859500897238, 0.3770131729454357, 0.3688892615699356, 0.0, 
0.5111398245651645, 0.4896618480482991, 0.5103572591192183, 0.0, 
0.49289047271131303, 0.4766547511305715, 0.4931211122123547, 0.0, 
0.4980243387829054, 0.4898230809676131, 0.49202390951367364, 0.0, 
0.42221339422831305, 0.3947421709041224, 0.4240794654007121, 0.0, 
0.4740830765687497, 0.49076929564905303, 0.47177744274604577, 0.0, 
