Mean performance on the last batch at each run 
PMAUC, WAUC, EWAUC, G-mean 
0.6093052801100975, 0.4413157490636689, 0.5248276057884954, 0.0, 
0.6462050406692588, 0.4767403517961815, 0.5705769863473474, 0.0, 
0.671638605283787, 0.5070423909214877, 0.5997143047863812, 0.0, 
0.6656093103129804, 0.5029137008734832, 0.5916706026552451, 0.0, 
0.657870968446203, 0.494423759464256, 0.5852883122946638, 0.0, 
0.6479044544338515, 0.47944233073623643, 0.5711082738888653, 0.0, 
0.6359264773022314, 0.45912777848192887, 0.5548450737677902, 0.0, 
0.657597535717065, 0.48711115416517353, 0.5827193514740899, 0.0, 
0.6529197407626501, 0.48385898275821526, 0.5758236078162996, 0.0, 
0.6951252927355231, 0.5536028450998578, 0.6323654901007513, 0.0, 
0.644434601752771, 0.4753897896326162, 0.5652264501109462, 0.0, 
0.6401048384960731, 0.48634451511080407, 0.5628053946367635, 0.0, 
0.6679848049805278, 0.5235544275657482, 0.598850501843511, 0.0, 
0.6688809990447134, 0.5286561597467463, 0.5956201003937756, 0.0, 
0.6456987607274025, 0.46682568081001385, 0.5651951176527983, 0.0, 
0.6448882141062733, 0.4625027688206194, 0.5649922825080137, 0.0, 
0.6359195024162353, 0.47214397213694104, 0.5581537422647677, 0.0, 
0.6414049459642535, 0.4673738887910309, 0.5643665470720501, 0.0, 
0.6685766653817656, 0.5162431092217451, 0.6005104651743759, 0.0, 
0.6672007041379175, 0.4968790497373383, 0.5923674531009763, 0.0, 
0.6657838511738603, 0.525414494384039, 0.5978814763562648, 0.0, 
0.703308952552708, 0.5703625873983784, 0.6456992219597304, 0.0, 
0.6588075987824767, 0.4946329213865929, 0.5863794624217489, 0.0, 
0.6975545029206311, 0.5689609160269238, 0.6397314768079209, 0.0, 
0.6555046144957135, 0.5046990713666116, 0.5831697739500755, 0.0, 
0.6537820115803792, 0.49688923898107157, 0.5816385184962007, 0.0, 
0.6210691277766905, 0.45899192833115093, 0.539126667550006, 0.0, 
0.6309381777562617, 0.4675226704406123, 0.5492890378655316, 0.0, 
0.6949301200339294, 0.5477729045078199, 0.6345666452452763, 0.0, 
0.6590655405275047, 0.4838556933321451, 0.5888706653395227, 0.0, 
0.6439549432235941, 0.47100068485290125, 0.5639714314416422, 0.0, 
0.6502339432976183, 0.4810757038652329, 0.573079005231927, 0.0, 
0.6269687688177632, 0.46907533096657156, 0.5470353240939142, 0.0, 
0.6486205799255556, 0.4785391788076298, 0.5740116024416312, 0.0, 
0.6579592280482386, 0.503269330072196, 0.5866463500181116, 0.0, 
0.6651327972830561, 0.5121515308059759, 0.5893440151576644, 0.0, 
0.6555517716676402, 0.48566991861824976, 0.5781778876104365, 0.0, 
0.6271859242741731, 0.45500567238566075, 0.5420830810544486, 0.0, 
0.6703124289799318, 0.5059516543872274, 0.5997871893821416, 0.0, 
0.6737033443881432, 0.5282526636672223, 0.6040071566111839, 0.0, 
0.6580003285623383, 0.521710353201739, 0.5872192944095451, 0.0, 
0.6468480837773977, 0.4755790059918852, 0.5713195380665299, 0.0, 
0.6434338899068771, 0.4687471101188546, 0.568463550815483, 0.0, 
0.6540404503636966, 0.5057429872627679, 0.582868960250692, 0.0, 
0.6625242137812777, 0.5096631305516236, 0.5931644118105741, 0.0, 
0.6508994184519172, 0.49488124364250613, 0.5758662711187612, 0.0, 
0.627156794677938, 0.44508387827104523, 0.5467418369480189, 0.0, 
0.676566523721152, 0.5245110002743019, 0.6065540643228088, 0.0, 
0.648166992326889, 0.49059998187192044, 0.5695959836085578, 0.0, 
0.6938634240814479, 0.5514175996123551, 0.6305009544338206, 0.0, 
