Mean performance on the last batch at each run 
PMAUC, WAUC, EWAUC, G-mean 
0.7970889989805539, 0.5130367071541079, 0.6766495065107412, 0.0, 
0.8056017683819832, 0.5366930126918322, 0.7007871312081021, 0.0, 
0.7906738994798371, 0.48338359276237297, 0.6739746881832566, 0.0, 
0.7859729997784264, 0.4714141311087795, 0.66191143206662, 0.0, 
0.7838745535307242, 0.4642849140672602, 0.6542847678500145, 0.0, 
0.8040032862064143, 0.5328339594462643, 0.696143378440035, 0.0, 
0.7720556303207822, 0.4251792335428457, 0.6138771178313229, 0.0, 
0.8060745563497275, 0.538689485625909, 0.691246665009874, 0.0, 
0.803116879187323, 0.5308889999442454, 0.6937159569424504, 0.0, 
0.7907119691997577, 0.4835572934164356, 0.673995720822252, 0.0, 
0.7934852905789663, 0.502542534552626, 0.6648097183231986, 0.0, 
0.8044501991988584, 0.5358713040624326, 0.6964909737797207, 0.0, 
0.7867938649881328, 0.47524010765644653, 0.6484606958042252, 0.0, 
0.7845886165792137, 0.47293537159301313, 0.6468483561375736, 0.0, 
0.7986432844963238, 0.513795230338459, 0.6878855869520651, 0.0, 
0.7840313235071904, 0.4648781481797643, 0.6550480023506817, 0.0, 
0.7905961683985211, 0.48326785749420137, 0.6740688649327735, 0.0, 
0.8067913179308824, 0.5424631645881235, 0.7014083650964076, 0.0, 
0.7906589690262988, 0.48344863586331893, 0.6739493655266564, 0.0, 
0.807589843306976, 0.5427038493501911, 0.7085228975635102, 0.0, 
0.808582690293452, 0.5478004602389398, 0.710235478454308, 0.0, 
0.803890224117263, 0.533130250850535, 0.6880994724345215, 0.0, 
0.790910130262318, 0.4907220598536557, 0.6653301529519298, 0.0, 
0.8066439422460452, 0.5393861257157891, 0.7061010078902411, 0.0, 
0.8062641317076926, 0.5400597223143325, 0.7002045337586749, 0.0, 
0.7907339530616003, 0.48321641396611265, 0.6738975869661376, 0.0, 
0.8042748066336434, 0.533969232136074, 0.6950824988369625, 0.0, 
0.7890364815681365, 0.48502609006751624, 0.6583900121697234, 0.0, 
0.8038042189595774, 0.532107774233432, 0.6955672126968268, 0.0, 
0.7894400733480158, 0.4865133264217835, 0.6565200839469288, 0.0, 
0.8045283960747431, 0.5336761574616369, 0.6980143929227433, 0.0, 
0.7986007756304311, 0.5189739481086385, 0.6765113950910124, 0.0, 
0.7860725952761636, 0.4730687318778811, 0.6473373850054276, 0.0, 
0.8063867095137721, 0.5391249007869519, 0.6952103556906768, 0.0, 
0.8076627722054437, 0.5422618758477957, 0.7108310929935655, 0.0, 
0.8047953444672912, 0.5367348603235282, 0.6989633579334702, 0.0, 
0.8133801281240857, 0.5626175475843294, 0.7290238901559016, 0.0, 
0.8062602768082264, 0.5395785837026693, 0.7004369656526453, 0.0, 
0.7970252617138902, 0.5136808311019614, 0.6742877555484614, 0.0, 
0.7907006930608305, 0.4833835777107487, 0.6741556708670643, 0.0, 
0.8034011513926719, 0.5325730189459679, 0.6918061055138094, 0.0, 
0.7848455037273242, 0.4727602541133329, 0.6467653106749228, 0.0, 
0.7874303342707044, 0.4804491885999626, 0.6490714321094306, 0.0, 
0.790697990977161, 0.4836255960430684, 0.6742529973238747, 0.0, 
0.7847981199014633, 0.4684568084657363, 0.6573478788781018, 0.0, 
0.8052983154828394, 0.5377419623214467, 0.6983269267711588, 0.0, 
0.806494394837353, 0.5423887771628036, 0.7036636414001832, 0.0, 
0.806518246362351, 0.5385155272130386, 0.7051457037599655, 0.0, 
0.8040418386059105, 0.5332327938609939, 0.6957865545574434, 0.0, 
0.8027435383983468, 0.5267500872155862, 0.69701830580698, 0.0, 
